"Date","Price","Open","High","Low","Vol.","Change %"
"2026-05-06","2,991.00","2,991.00","2,991.00","2,991.00","","5.61%"
"2026-05-05","2,832.00","2,832.00","2,832.00","2,832.00","","3.74%"
"2026-05-01","2,730.00","2,730.00","2,730.00","2,730.00","","1.64%"
"2026-04-30","2,686.00","2,686.00","2,686.00","2,686.00","","0.60%"
"2026-04-29","2,670.00","2,670.00","2,670.00","2,670.00","","-0.26%"
"2026-04-28","2,677.00","2,677.00","2,677.00","2,677.00","","0.41%"
"2026-04-27","2,666.00","2,666.00","2,666.00","2,666.00","","0.04%"
"2026-04-24","2,665.00","2,665.00","2,665.00","2,665.00","","-0.30%"
"2026-04-23","2,673.00","2,673.00","2,673.00","2,673.00","","-0.07%"
"2026-04-22","2,675.00","2,675.00","2,675.00","2,675.00","","1.33%"
"2026-04-21","2,640.00","2,640.00","2,640.00","2,640.00","","0.27%"
"2026-04-20","2,633.00","2,633.00","2,633.00","2,633.00","","2.57%"
"2026-04-17","2,567.00","2,567.00","2,567.00","2,567.00","","1.74%"
"2026-04-16","2,523.00","2,523.00","2,523.00","2,523.00","","1.57%"
"2026-04-15","2,484.00","2,484.00","2,484.00","2,484.00","","5.52%"
"2026-04-14","2,354.00","2,354.00","2,354.00","2,354.00","","4.62%"
"2026-04-13","2,250.00","2,250.00","2,250.00","2,250.00","","2.23%"
"2026-04-10","2,201.00","2,201.00","2,201.00","2,201.00","","1.85%"
"2026-04-09","2,161.00","2,161.00","2,161.00","2,161.00","","1.03%"
"2026-04-08","2,139.00","2,139.00","2,139.00","2,139.00","","2.10%"
"2026-04-07","2,095.00","2,095.00","2,095.00","2,095.00","","1.40%"
