Date,Price
2018-09-03,1557.00
2018-09-04,1513.00
2018-09-05,1477.00
2018-09-06,1484.00
2018-09-07,1490.00
2018-09-10,1482.00
2018-09-11,1439.00
2018-09-12,1411.00
2018-09-13,1382.00
2018-09-14,1366.00
2018-09-17,1357.00
2018-09-18,1356.00
2018-09-19,1373.00
2018-09-20,1396.00
2018-09-21,1413.00
2018-09-24,1434.00
2018-09-25,1450.00
2018-09-26,1503.00
2018-09-27,1524.00
2018-09-28,1540.00
2018-10-01,1555.00
2018-10-02,1570.00
2018-10-03,1574.00
2018-10-04,1554.00
2018-10-05,1536.00
2018-10-08,1530.00
2018-10-09,1503.00
2018-10-10,1493.00
2018-10-11,1515.00
2018-10-12,1579.00
2018-10-15,1584.00
2018-10-16,1578.00
2018-10-17,1554.00
2018-10-18,1565.00
2018-10-19,1576.00
2018-10-22,1579.00
2018-10-23,1577.00
2018-10-24,1546.00
2018-10-25,1516.00
2018-10-26,1519.00
2018-10-29,1522.00
2018-10-30,1513.00
2018-10-31,1490.00
2018-11-01,1470.00
2018-11-02,1457.00
2018-11-05,1428.00
2018-11-06,1395.00
2018-11-07,1304.00
2018-11-08,1231.00
2018-11-09,1147.00
2018-11-12,1125.00
2018-11-13,1064.00
2018-11-14,1009.00
2018-11-15,1020.00
2018-11-16,1031.00
2018-11-19,1023.00
2018-11-20,1003.00
2018-11-21,1008.00
2018-11-22,1018.00
2018-11-23,1093.00
2018-11-26,1217.00
2018-11-27,1339.00
2018-11-28,1330.00
2018-11-29,1281.00
2018-11-30,1231.00
2018-12-03,1203.00
2018-12-04,1237.00
2018-12-05,1296.00
2018-12-06,1339.00
2018-12-07,1372.00
2018-12-10,1385.00
2018-12-11,1364.00
2018-12-12,1353.00
2018-12-13,1365.00
2018-12-14,1401.00
2018-12-17,1406.00
2018-12-18,1395.00
2018-12-19,1378.00
2018-12-20,1318.00
2018-12-21,1279.00
2018-12-24,1271.00
2019-01-02,1282.00
2019-01-03,1267.00
2019-01-04,1260.00
2019-01-07,1247.00
2019-01-08,1262.00
2019-01-09,1238.00
2019-01-10,1189.00
2019-01-11,1169.00
2019-01-14,1147.00
2019-01-15,1096.00
2019-01-16,1055.00
2019-01-17,1077.00
2019-01-18,1112.00
2019-01-21,1092.00
2019-01-22,1036.00
2019-01-23,982.00
2019-01-24,939.00
2019-01-25,905.00
2019-01-28,852.00
2019-01-29,797.00
2019-01-30,721.00
2019-01-31,668.00
2019-02-01,645.00
2019-02-04,634.00
2019-02-05,629.00
2019-02-06,629.00
2019-02-07,610.00
2019-02-08,601.00
2019-02-11,595.00
2019-02-12,598.00
2019-02-13,608.00
2019-02-14,628.00
2019-02-15,639.00
2019-02-18,643.00
2019-02-19,635.00
2019-02-20,622.00
2019-02-21,630.00
2019-02-22,634.00
2019-02-25,637.00
2019-02-26,649.00
2019-02-27,651.00
2019-02-28,658.00
